Navn;Stasjon;Tid(norsk normaltid);Høyeste middelvind (døgn)
Fedje;SN52535;01.01.2012;20,5
Fedje;SN52535;02.01.2012;15,2
Fedje;SN52535;06.01.2012;13,3
Fedje;SN52535;07.01.2012;14,2
Fedje;SN52535;08.01.2012;11,1
Fedje;SN52535;09.01.2012;19,6
Fedje;SN52535;10.01.2012;16,6
Fedje;SN52535;11.01.2012;17,7
Fedje;SN52535;12.01.2012;21,4
Fedje;SN52535;13.01.2012;22,4
Fedje;SN52535;14.01.2012;12,7
Fedje;SN52535;15.01.2012;10,7
Fedje;SN52535;16.01.2012;9,5
Fedje;SN52535;17.01.2012;13
Fedje;SN52535;18.01.2012;20
Fedje;SN52535;19.01.2012;17
Fedje;SN52535;20.01.2012;11,6
Fedje;SN52535;21.01.2012;19,6
Fedje;SN52535;22.01.2012;10,4
Fedje;SN52535;23.01.2012;13,7
Fedje;SN52535;24.01.2012;14,4
Fedje;SN52535;25.01.2012;21,3
Fedje;SN52535;26.01.2012;22,3
Fedje;SN52535;27.01.2012;16,6
Fedje;SN52535;28.01.2012;10,4
Fedje;SN52535;29.01.2012;9,2
Fedje;SN52535;30.01.2012;9,4
Fedje;SN52535;31.01.2012;6,6
Fedje;SN52535;01.02.2012;8,7
Fedje;SN52535;02.02.2012;12,4
Fedje;SN52535;03.02.2012;14,4
Fedje;SN52535;04.02.2012;18,9
Fedje;SN52535;05.02.2012;21,6
Fedje;SN52535;06.02.2012;22,3
Fedje;SN52535;07.02.2012;12,5
Fedje;SN52535;08.02.2012;13,6
Fedje;SN52535;09.02.2012;17,3
Fedje;SN52535;10.02.2012;15,9
Fedje;SN52535;11.02.2012;14,9
Fedje;SN52535;12.02.2012;9,2
Fedje;SN52535;13.02.2012;14,5
Fedje;SN52535;14.02.2012;17,4
Fedje;SN52535;15.02.2012;20,7
Fedje;SN52535;16.02.2012;12,5
Fedje;SN52535;17.02.2012;13,4
Fedje;SN52535;18.02.2012;17,8
Fedje;SN52535;19.02.2012;16,3
Fedje;SN52535;20.02.2012;19,3
Fedje;SN52535;21.02.2012;13,1
Fedje;SN52535;22.02.2012;16,4
Fedje;SN52535;23.02.2012;15,9
Fedje;SN52535;24.02.2012;19,3
Fedje;SN52535;25.02.2012;22,8
Fedje;SN52535;26.02.2012;10,9
Fedje;SN52535;27.02.2012;16,8
Fedje;SN52535;28.02.2012;13,9
Fedje;SN52535;29.02.2012;8,5
Fedje;SN52535;01.03.2012;13,5
Fedje;SN52535;02.03.2012;7,8
Fedje;SN52535;03.03.2012;8,7
Fedje;SN52535;04.03.2012;15,8
Fedje;SN52535;05.03.2012;9,8
Fedje;SN52535;06.03.2012;15,4
Fedje;SN52535;07.03.2012;24,6
Fedje;SN52535;08.03.2012;12,1
Fedje;SN52535;09.03.2012;18,1
Fedje;SN52535;10.03.2012;13,9
Fedje;SN52535;11.03.2012;9,3
Fedje;SN52535;13.03.2012;8
Fedje;SN52535;14.03.2012;9,1
Fedje;SN52535;15.03.2012;13,1
Fedje;SN52535;16.03.2012;17,4
Fedje;SN52535;17.03.2012;15,2
Fedje;SN52535;18.03.2012;14,8
Fedje;SN52535;19.03.2012;23
Fedje;SN52535;20.03.2012;15,1
Fedje;SN52535;21.03.2012;10,4
Fedje;SN52535;22.03.2012;8,1
Fedje;SN52535;23.03.2012;8,1
Fedje;SN52535;24.03.2012;6,5
Fedje;SN52535;25.03.2012;4,6
Fedje;SN52535;26.03.2012;7,1
Fedje;SN52535;27.03.2012;5,1
Fedje;SN52535;28.03.2012;14,9
Fedje;SN52535;29.03.2012;14,4
Fedje;SN52535;30.03.2012;12,4
Fedje;SN52535;31.03.2012;16,5
Fedje;SN52535;01.04.2012;15
Fedje;SN52535;02.04.2012;16,4
Fedje;SN52535;03.04.2012;7,9
Fedje;SN52535;04.04.2012;7,7
Fedje;SN52535;05.04.2012;12,2
Fedje;SN52535;06.04.2012;11,4
Fedje;SN52535;07.04.2012;9,1
Fedje;SN52535;08.04.2012;16,3
Fedje;SN52535;09.04.2012;16,1
Fedje;SN52535;10.04.2012;14,3
Fedje;SN52535;11.04.2012;15,8
Fedje;SN52535;12.04.2012;9,7
Fedje;SN52535;13.04.2012;5,5
Fedje;SN52535;14.04.2012;14
Fedje;SN52535;15.04.2012;13,2
Fedje;SN52535;16.04.2012;12,2
Fedje;SN52535;17.04.2012;9,1
Fedje;SN52535;18.04.2012;7,7
Fedje;SN52535;19.04.2012;8,7
Fedje;SN52535;20.04.2012;8,4
Fedje;SN52535;21.04.2012;12,4
Fedje;SN52535;22.04.2012;7,8
Fedje;SN52535;23.04.2012;7,4
Fedje;SN52535;24.04.2012;6,1
Fedje;SN52535;25.04.2012;7,2
Fedje;SN52535;26.04.2012;5,9
Fedje;SN52535;27.04.2012;11,3
Fedje;SN52535;28.04.2012;10,4
Fedje;SN52535;29.04.2012;6,2
Fedje;SN52535;30.04.2012;9,7
Fedje;SN52535;01.05.2012;8,8
Fedje;SN52535;02.05.2012;9,4
Fedje;SN52535;03.05.2012;9,7
Fedje;SN52535;04.05.2012;12,9
Fedje;SN52535;05.05.2012;14,9
Fedje;SN52535;06.05.2012;15,7
Fedje;SN52535;07.05.2012;11
